player_id,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,total_offside,touches,total_pass,total_through_ball,total_cross,corner_taken
160897,24,9,0,0,0,0,4,276,107,1,10,0
135591,24,7,0,0,0,0,0,883,616,1,33,12
6280,23,6,0,0,0,0,3,2754,1920,0,103,0
129750,23,8,0,1,0,0,1,2460,2077,1,5,0
91606,23,12,0,2,0,0,9,317,183,3,2,0
134321,23,4,0,0,0,0,2,1131,726,1,15,0
132927,23,8,1,0,0,0,2,1301,894,5,34,5
35017,22,6,0,0,0,0,4,870,545,1,30,6
43135,22,8,1,0,0,1,4,705,474,1,83,40
18957,22,10,0,0,0,0,0,464,313,4,20,1
35800,22,8,0,1,0,0,2,1688,1334,1,7,0
23462,22,5,1,0,1,1,2,1683,1062,2,80,39
52102,21,4,1,0,0,0,2,612,382,0,56,17
162020,21,9,2,1,0,0,0,747,483,8,41,1
160054,21,5,0,0,0,0,0,2050,1699,10,8,0
26151,21,7,0,0,0,0,4,963,714,5,43,33
30598,21,7,1,0,0,0,0,578,332,0,67,45
133641,21,6,0,0,0,1,3,2127,1585,4,202,152
52974,21,10,1,0,0,0,4,875,505,3,136,73
6363,21,4,2,0,0,0,0,1321,1077,1,4,1
131781,21,10,1,0,0,0,8,443,324,2,14,0
161456,20,3,1,0,0,0,7,309,169,2,9,0
161350,20,4,0,0,0,0,0,1218,948,0,0,0
159638,20,8,0,0,0,0,3,551,239,1,21,0
18721,20,10,0,0,1,0,4,758,402,4,18,1
58929,20,5,0,0,0,0,0,522,375,3,6,2
162019,20,7,0,1,0,0,1,1788,1501,12,4,0
32140,20,8,0,0,0,0,1,740,435,1,57,13
42220,20,3,1,1,0,0,1,1791,1343,2,2,0
91041,20,8,1,0,0,0,2,1858,1414,1,20,0
131752,20,6,0,0,0,0,0,1061,813,2,12,11
20262,19,1,0,0,0,0,0,1767,1328,3,17,6
133133,19,3,0,0,0,0,1,1444,1081,0,2,0
51790,19,7,0,0,0,0,5,240,140,0,4,0
166468,19,3,0,0,0,0,1,1022,757,1,0,0
93960,19,5,1,0,0,0,7,459,200,0,22,1
160158,19,8,0,1,0,0,0,2550,2254,2,7,0
32103,19,8,0,0,1,0,4,856,544,0,27,18
133749,19,6,0,0,0,0,1,929,618,1,10,0
129749,18,5,0,0,0,0,0,2549,1572,4,60,0
133548,18,7,0,0,0,0,2,602,288,1,27,1
49709,18,6,0,0,0,0,1,1322,923,2,6,0
160025,18,4,0,0,0,0,0,1499,1168,0,8,0
52220,18,12,0,0,0,0,0,401,285,3,12,4
30667,18,3,0,1,0,0,2,1150,768,1,38,0
50135,18,5,0,1,0,0,2,2741,2026,2,157,20
51699,18,6,1,0,0,0,0,510,339,4,4,0
23389,17,3,0,0,0,0,1,1712,988,2,106,24
94221,17,9,1,0,0,0,7,272,191,0,2,0
5990,17,6,3,1,0,0,0,2093,1764,7,58,1
30960,17,6,0,0,0,0,0,1399,1062,0,26,0
10292,17,7,1,1,0,0,3,1674,1257,0,3,0
4029,17,6,0,0,3,0,0,1577,1258,3,25,6
144579,17,6,0,0,1,0,0,2233,1783,1,160,95
136255,17,5,0,1,0,0,1,2522,2111,0,4,0
10205,17,2,0,0,0,0,0,1789,1502,2,4,0
154336,16,4,0,0,0,0,2,1695,922,0,50,0
20752,16,6,1,0,0,0,0,2366,1620,3,103,8
160895,16,5,0,0,0,0,4,512,294,0,35,7
32098,16,5,0,0,0,0,0,752,620,7,2,1
47001,16,4,0,1,0,0,2,2055,1252,2,100,0
18843,16,3,0,0,0,0,2,1602,1132,0,4,0
154433,15,2,0,0,0,0,7,137,78,0,0,0
160495,15,2,1,0,0,0,1,1037,636,0,7,0
44032,15,4,0,0,0,0,0,444,319,0,20,4
14131,15,5,0,0,0,1,2,1729,1041,0,110,19
19205,15,5,1,1,0,0,1,888,643,2,8,0
18566,15,5,0,0,0,0,2,163,79,0,1,0
23153,15,6,0,0,0,0,2,380,225,1,22,3
