player_id,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,total_offside,touches,total_pass,total_through_ball,total_cross,corner_taken
30533.0,40.0,10.0,0.0,0.0,0.0,1.0,1.0,3247.0,2168.0,5.0,337.0,140.0
10314.0,40.0,12.0,0.0,0.0,1.0,0.0,13.0,486.0,251.0,3.0,5.0,0.0
53178.0,40.0,8.0,1.0,0.0,0.0,0.0,7.0,1462.0,1080.0,2.0,53.0,3.0
133644.0,39.0,18.0,0.0,0.0,0.0,0.0,10.0,800.0,494.0,2.0,7.0,0.0
161990.0,39.0,11.0,0.0,0.0,0.0,0.0,9.0,757.0,370.0,0.0,73.0,0.0
130310.0,38.0,16.0,0.0,0.0,0.0,0.0,3.0,756.0,438.0,1.0,21.0,0.0
128570.0,38.0,16.0,0.0,0.0,0.0,0.0,3.0,1490.0,968.0,3.0,21.0,4.0
160156.0,38.0,18.0,1.0,0.0,1.0,0.0,6.0,976.0,569.0,7.0,25.0,0.0
130050.0,38.0,9.0,1.0,0.0,0.0,0.0,1.0,2085.0,1583.0,3.0,63.0,42.0
115748.0,37.0,14.0,0.0,0.0,0.0,0.0,3.0,1053.0,703.0,2.0,65.0,38.0
160846.0,37.0,16.0,2.0,1.0,0.0,0.0,2.0,766.0,331.0,2.0,37.0,0.0
12507.0,36.0,18.0,0.0,1.0,2.0,0.0,9.0,813.0,550.0,1.0,6.0,1.0
159689.0,35.0,18.0,1.0,0.0,0.0,0.0,14.0,620.0,367.0,0.0,7.0,0.0
160587.0,35.0,9.0,1.0,0.0,0.0,0.0,15.0,461.0,223.0,1.0,4.0,0.0
19695.0,35.0,11.0,2.0,1.0,0.0,1.0,1.0,1043.0,769.0,3.0,68.0,48.0
135191.0,35.0,9.0,1.0,0.0,0.0,0.0,5.0,1374.0,607.0,8.0,156.0,0.0
5745.0,34.0,12.0,1.0,0.0,0.0,0.0,3.0,1332.0,1105.0,11.0,29.0,5.0
160683.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,1361.0,994.0,3.0,20.0,2.0
93882.0,33.0,10.0,1.0,0.0,0.0,0.0,0.0,650.0,467.0,5.0,9.0,3.0
130624.0,33.0,8.0,0.0,0.0,0.0,0.0,2.0,2065.0,1252.0,17.0,152.0,101.0
159637.0,33.0,11.0,0.0,0.0,0.0,0.0,7.0,940.0,631.0,4.0,49.0,17.0
157053.0,33.0,8.0,1.0,0.0,0.0,0.0,2.0,885.0,591.0,3.0,35.0,0.0
23607.0,32.0,16.0,1.0,1.0,0.0,0.0,2.0,1873.0,1211.0,1.0,38.0,0.0
161463.0,32.0,13.0,2.0,1.0,0.0,0.0,11.0,576.0,336.0,0.0,18.0,0.0
179384.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,1299.0,855.0,4.0,98.0,48.0
160732.0,31.0,8.0,0.0,0.0,0.0,0.0,1.0,1619.0,1058.0,1.0,12.0,0.0
30926.0,31.0,11.0,0.0,0.0,0.0,0.0,1.0,1408.0,939.0,3.0,139.0,75.0
7018.0,31.0,8.0,1.0,0.0,1.0,0.0,2.0,2019.0,1773.0,7.0,29.0,22.0
180060.0,30.0,13.0,2.0,0.0,2.0,0.0,1.0,606.0,425.0,5.0,42.0,31.0
31015.0,30.0,13.0,0.0,1.0,0.0,0.0,1.0,1722.0,1365.0,0.0,3.0,0.0
32114.0,29.0,14.0,3.0,0.0,0.0,0.0,11.0,472.0,270.0,2.0,4.0,0.0
154766.0,29.0,12.0,0.0,0.0,0.0,0.0,10.0,317.0,121.0,1.0,9.0,0.0
139564.0,29.0,14.0,1.0,0.0,0.0,0.0,2.0,445.0,316.0,0.0,9.0,1.0
143584.0,29.0,10.0,2.0,1.0,0.0,0.0,0.0,1952.0,1456.0,8.0,46.0,17.0
43231.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,1323.0,935.0,2.0,14.0,0.0
7748.0,29.0,8.0,0.0,0.0,2.0,1.0,1.0,1683.0,1245.0,3.0,130.0,89.0
