player_id,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,aerial_won,own_goals,error_lead_to_goal,penalty_conceded,fouls,aerial_lost
130672.0,11.0,24.0,37.0,0.0,54.0,28.0,62.0,0.0,0.0,1.0,20.0,26.0
153012.0,11.0,17.0,20.0,1.0,62.0,35.0,33.0,0.0,1.0,0.0,11.0,23.0
160773.0,11.0,39.0,55.0,0.0,31.0,7.0,23.0,0.0,1.0,0.0,23.0,27.0
133641.0,11.0,42.0,85.0,0.0,14.0,5.0,17.0,0.0,0.0,0.0,36.0,21.0
135589.0,11.0,42.0,21.0,3.0,88.0,48.0,87.0,1.0,0.0,1.0,26.0,30.0
15123.0,10.0,66.0,73.0,0.0,141.0,88.0,100.0,0.0,1.0,1.0,23.0,56.0
129761.0,10.0,18.0,68.0,0.0,52.0,25.0,32.0,0.0,0.0,0.0,21.0,29.0
154432.0,10.0,45.0,71.0,0.0,59.0,26.0,44.0,0.0,0.0,0.0,35.0,64.0
21247.0,10.0,16.0,23.0,0.0,74.0,33.0,33.0,0.0,1.0,0.0,8.0,25.0
140935.0,10.0,24.0,48.0,0.0,21.0,8.0,33.0,0.0,0.0,0.0,26.0,28.0
160312.0,10.0,14.0,18.0,0.0,50.0,32.0,20.0,0.0,0.0,0.0,9.0,14.0
6505.0,10.0,31.0,39.0,0.0,55.0,27.0,50.0,0.0,0.0,1.0,6.0,22.0
42970.0,10.0,23.0,41.0,0.0,22.0,6.0,15.0,0.0,0.0,0.0,31.0,23.0
30533.0,9.0,41.0,52.0,1.0,62.0,26.0,16.0,0.0,1.0,0.0,20.0,27.0
23389.0,9.0,30.0,43.0,0.0,22.0,7.0,51.0,0.0,0.0,0.0,24.0,51.0
129762.0,9.0,29.0,40.0,0.0,83.0,51.0,63.0,0.0,0.0,0.0,21.0,23.0
20262.0,9.0,65.0,72.0,0.0,52.0,29.0,47.0,0.0,0.0,0.0,52.0,19.0
154336.0,9.0,51.0,86.0,0.0,28.0,12.0,35.0,0.0,1.0,0.0,31.0,41.0
14131.0,9.0,27.0,37.0,0.0,54.0,29.0,35.0,0.0,0.0,0.0,15.0,33.0
14109.0,9.0,17.0,21.0,1.0,53.0,31.0,62.0,0.0,0.0,1.0,18.0,39.0
176689.0,9.0,23.0,27.0,0.0,61.0,31.0,28.0,1.0,0.0,0.0,4.0,32.0
14287.0,9.0,13.0,23.0,0.0,20.0,8.0,17.0,0.0,0.0,0.0,15.0,22.0
51340.0,9.0,19.0,41.0,0.0,47.0,19.0,7.0,0.0,0.0,0.0,10.0,16.0
6363.0,9.0,36.0,17.0,0.0,53.0,23.0,31.0,0.0,0.0,0.0,18.0,21.0
180209.0,8.0,9.0,4.0,0.0,28.0,14.0,20.0,0.0,0.0,0.0,4.0,13.0
160495.0,8.0,26.0,40.0,0.0,61.0,33.0,43.0,0.0,0.0,0.0,16.0,39.0
35017.0,8.0,20.0,18.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,17.0,17.0
134321.0,8.0,35.0,61.0,0.0,44.0,26.0,83.0,0.0,0.0,0.0,26.0,66.0
91041.0,8.0,65.0,99.0,0.0,46.0,23.0,46.0,0.0,0.0,1.0,33.0,32.0
130050.0,8.0,37.0,57.0,0.0,26.0,7.0,9.0,0.0,0.0,0.0,41.0,18.0
180064.0,8.0,13.0,32.0,0.0,40.0,19.0,19.0,0.0,2.0,0.0,21.0,15.0
162532.0,8.0,10.0,21.0,0.0,50.0,28.0,45.0,1.0,0.0,0.0,15.0,33.0
10205.0,8.0,47.0,65.0,1.0,33.0,22.0,16.0,0.0,0.0,0.0,38.0,19.0
47001.0,8.0,33.0,70.0,0.0,49.0,18.0,26.0,0.0,2.0,0.0,35.0,25.0
160029.0,8.0,51.0,41.0,0.0,63.0,27.0,35.0,0.0,0.0,0.0,23.0,35.0
135177.0,7.0,16.0,26.0,0.0,41.0,25.0,37.0,0.0,0.0,1.0,18.0,31.0
114653.0,7.0,23.0,37.0,0.0,52.0,31.0,62.0,0.0,0.0,0.0,14.0,43.0
131780.0,7.0,29.0,31.0,0.0,34.0,16.0,13.0,0.0,0.0,0.0,17.0,16.0
143584.0,7.0,34.0,39.0,0.0,59.0,44.0,85.0,0.0,0.0,1.0,23.0,84.0
50135.0,7.0,35.0,48.0,0.0,47.0,19.0,28.0,0.0,0.0,0.0,17.0,31.0
135116.0,7.0,22.0,29.0,1.0,42.0,19.0,34.0,0.0,0.0,0.0,7.0,28.0
131752.0,7.0,30.0,29.0,0.0,21.0,9.0,10.0,0.0,0.0,0.0,18.0,19.0
23462.0,7.0,39.0,37.0,0.0,41.0,22.0,15.0,1.0,0.0,0.0,6.0,11.0
90987.0,7.0,24.0,31.0,1.0,19.0,5.0,11.0,0.0,0.0,0.0,16.0,8.0
53036.0,6.0,40.0,79.0,0.0,64.0,38.0,53.0,1.0,0.0,2.0,32.0,54.0
129749.0,6.0,49.0,119.0,3.0,74.0,38.0,42.0,0.0,0.0,1.0,45.0,48.0
51275.0,6.0,16.0,41.0,0.0,45.0,24.0,28.0,0.0,0.0,0.0,30.0,14.0
20752.0,6.0,28.0,42.0,0.0,52.0,26.0,56.0,0.0,0.0,0.0,28.0,38.0
22162.0,6.0,23.0,17.0,0.0,11.0,4.0,11.0,0.0,0.0,0.0,11.0,9.0
94007.0,6.0,21.0,34.0,0.0,27.0,17.0,25.0,0.0,1.0,0.0,15.0,17.0
51513.0,6.0,7.0,4.0,0.0,45.0,22.0,22.0,0.0,0.0,0.0,3.0,23.0
14111.0,6.0,14.0,18.0,0.0,24.0,14.0,30.0,0.0,0.0,0.0,15.0,13.0
134236.0,6.0,33.0,64.0,0.0,72.0,33.0,81.0,1.0,0.0,0.0,31.0,38.0
33468.0,6.0,21.0,18.0,1.0,69.0,47.0,68.0,0.0,0.0,0.0,14.0,24.0
41538.0,6.0,29.0,18.0,0.0,46.0,20.0,54.0,0.0,0.0,1.0,15.0,31.0
30667.0,6.0,38.0,51.0,0.0,33.0,12.0,47.0,0.0,0.0,0.0,24.0,33.0
47195.0,6.0,28.0,58.0,0.0,20.0,10.0,20.0,0.0,0.0,1.0,41.0,25.0
52087.0,6.0,15.0,23.0,0.0,15.0,8.0,21.0,0.0,0.0,0.0,16.0,29.0
43047.0,6.0,10.0,13.0,2.0,41.0,18.0,49.0,0.0,0.0,0.0,4.0,27.0
22919.0,6.0,27.0,41.0,0.0,52.0,30.0,22.0,0.0,1.0,1.0,14.0,14.0
42220.0,6.0,68.0,98.0,0.0,57.0,21.0,71.0,0.0,1.0,2.0,42.0,64.0
19592.0,6.0,19.0,27.0,0.0,64.0,30.0,52.0,0.0,1.0,0.0,19.0,31.0
133647.0,6.0,66.0,39.0,0.0,46.0,22.0,23.0,0.0,0.0,0.0,12.0,25.0
95187.0,6.0,5.0,25.0,0.0,6.0,3.0,62.0,0.0,0.0,0.0,19.0,113.0
14011.0,6.0,21.0,30.0,0.0,50.0,29.0,27.0,0.0,0.0,0.0,22.0,19.0
134618.0,6.0,11.0,17.0,0.0,29.0,21.0,18.0,0.0,1.0,0.0,8.0,11.0
48549.0,6.0,27.0,34.0,0.0,48.0,29.0,43.0,0.0,1.0,0.0,15.0,25.0
132044.0,6.0,20.0,15.0,0.0,74.0,38.0,52.0,0.0,0.0,0.0,6.0,21.0
180157.0,5.0,16.0,18.0,0.0,55.0,31.0,16.0,0.0,0.0,1.0,8.0,13.0
160671.0,5.0,10.0,27.0,0.0,28.0,17.0,163.0,0.0,0.0,0.0,28.0,220.0
156959.0,5.0,26.0,17.0,0.0,71.0,43.0,54.0,0.0,2.0,0.0,6.0,37.0
130624.0,5.0,21.0,73.0,0.0,20.0,8.0,27.0,0.0,2.0,0.0,30.0,42.0
30669.0,5.0,17.0,25.0,0.0,15.0,8.0,11.0,0.0,0.0,0.0,19.0,12.0
49704.0,5.0,46.0,49.0,0.0,26.0,11.0,25.0,0.0,0.0,0.0,27.0,24.0
106028.0,5.0,26.0,54.0,0.0,26.0,9.0,45.0,1.0,0.0,1.0,43.0,51.0
50119.0,5.0,11.0,15.0,0.0,19.0,9.0,22.0,0.0,0.0,0.0,8.0,14.0
132771.0,5.0,57.0,58.0,1.0,24.0,7.0,12.0,0.0,0.0,1.0,25.0,31.0
160522.0,5.0,8.0,18.0,0.0,22.0,19.0,206.0,0.0,0.0,0.0,42.0,199.0
160158.0,5.0,22.0,43.0,0.0,28.0,17.0,52.0,0.0,0.0,0.0,39.0,28.0
