index,playerId,outfielderBlock,interception,totalTackle,lastManTackle,totalClearance,headClearance,aerialWon,own_Goals,errorLeadToGoal,penaltyConceded,fouls,aerialLost
138,94133.0,5.0,16.0,9.0,0.0,17.0,6.0,18.0,0.0,0.0,0.0,6.0,9.0
139,135591.0,5.0,19.0,31.0,0.0,19.0,7.0,17.0,0.0,1.0,0.0,15.0,21.0
140,34883.0,5.0,11.0,15.0,0.0,65.0,34.0,37.0,1.0,0.0,0.0,16.0,25.0
141,31289.0,5.0,14.0,39.0,0.0,22.0,10.0,12.0,0.0,0.0,0.0,10.0,14.0
142,51329.0,5.0,15.0,27.0,1.0,18.0,12.0,22.0,0.0,0.0,0.0,15.0,14.0
143,161558.0,5.0,20.0,64.0,0.0,10.0,1.0,13.0,0.0,0.0,0.0,22.0,18.0
144,128766.0,5.0,26.0,43.0,0.0,19.0,6.0,22.0,0.0,0.0,0.0,27.0,35.0
145,43231.0,5.0,28.0,42.0,0.0,32.0,20.0,43.0,0.0,1.0,0.0,33.0,31.0
146,7748.0,5.0,39.0,52.0,0.0,33.0,12.0,30.0,0.0,0.0,1.0,41.0,23.0
147,135240.0,5.0,23.0,54.0,1.0,30.0,14.0,20.0,0.0,0.0,0.0,25.0,17.0
148,179384.0,5.0,19.0,35.0,0.0,21.0,9.0,13.0,0.0,0.0,0.0,10.0,22.0
149,4029.0,5.0,19.0,48.0,0.0,10.0,8.0,14.0,0.0,0.0,0.0,27.0,10.0
150,51703.0,5.0,32.0,59.0,0.0,29.0,13.0,23.0,0.0,1.0,0.0,29.0,22.0
151,19695.0,5.0,20.0,24.0,0.0,29.0,15.0,11.0,0.0,0.0,0.0,14.0,11.0
152,10050.0,5.0,22.0,45.0,0.0,44.0,17.0,32.0,0.0,0.0,1.0,24.0,27.0
153,43133.0,5.0,11.0,12.0,0.0,21.0,8.0,8.0,0.0,0.0,0.0,6.0,13.0
154,51690.0,5.0,16.0,39.0,0.0,32.0,14.0,24.0,0.0,0.0,0.0,26.0,15.0
155,128164.0,5.0,37.0,50.0,0.0,65.0,38.0,33.0,0.0,1.0,0.0,16.0,24.0
156,160845.0,5.0,17.0,37.0,0.0,38.0,22.0,22.0,0.0,0.0,0.0,10.0,16.0
157,33511.0,5.0,8.0,17.0,0.0,15.0,6.0,7.0,0.0,0.0,0.0,8.0,11.0
158,180108.0,4.0,20.0,48.0,0.0,44.0,17.0,18.0,0.0,0.0,0.0,10.0,26.0
159,13589.0,4.0,18.0,17.0,0.0,21.0,8.0,9.0,0.0,0.0,0.0,12.0,14.0
160,50016.0,4.0,14.0,23.0,0.0,16.0,8.0,13.0,0.0,0.0,0.0,5.0,10.0
161,133646.0,4.0,11.0,63.0,0.0,34.0,25.0,67.0,0.0,0.0,0.0,32.0,110.0
162,19595.0,4.0,16.0,37.0,0.0,21.0,13.0,11.0,0.0,0.0,0.0,24.0,16.0
163,23607.0,4.0,36.0,44.0,1.0,37.0,22.0,110.0,0.0,0.0,0.0,23.0,78.0
164,7018.0,4.0,31.0,22.0,0.0,9.0,4.0,10.0,0.0,0.0,1.0,14.0,15.0
165,20255.0,4.0,3.0,26.0,0.0,29.0,19.0,36.0,0.0,0.0,1.0,18.0,21.0
166,90860.0,4.0,45.0,77.0,1.0,48.0,23.0,54.0,0.0,0.0,1.0,46.0,42.0
167,161464.0,4.0,8.0,38.0,1.0,12.0,7.0,39.0,0.0,1.0,0.0,30.0,97.0
168,160166.0,4.0,3.0,4.0,0.0,17.0,8.0,12.0,0.0,0.0,0.0,1.0,2.0
169,159627.0,4.0,7.0,21.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,12.0,25.0
170,159737.0,4.0,3.0,16.0,0.0,10.0,6.0,9.0,0.0,0.0,1.0,3.0,23.0
171,130623.0,4.0,9.0,16.0,0.0,8.0,2.0,5.0,0.0,0.0,0.0,8.0,4.0
172,53178.0,4.0,31.0,44.0,0.0,36.0,17.0,21.0,0.0,0.0,0.0,24.0,31.0
173,43049.0,4.0,12.0,13.0,0.0,37.0,24.0,47.0,0.0,0.0,0.0,7.0,5.0
174,34877.0,4.0,14.0,10.0,0.0,57.0,36.0,52.0,0.0,0.0,0.0,10.0,14.0
175,30598.0,4.0,12.0,15.0,0.0,18.0,9.0,13.0,0.0,0.0,0.0,20.0,14.0
176,11259.0,4.0,2.0,13.0,0.0,18.0,15.0,41.0,0.0,0.0,0.0,17.0,78.0
177,50015.0,4.0,24.0,25.0,0.0,30.0,13.0,28.0,0.0,0.0,0.0,25.0,30.0
178,31015.0,4.0,16.0,31.0,0.0,30.0,17.0,27.0,0.0,0.0,0.0,12.0,45.0
179,14848.0,3.0,16.0,32.0,0.0,14.0,8.0,18.0,0.0,0.0,0.0,11.0,39.0
180,35149.0,3.0,14.0,33.0,0.0,11.0,9.0,9.0,0.0,0.0,0.0,17.0,16.0
181,160688.0,3.0,13.0,35.0,0.0,17.0,13.0,75.0,0.0,0.0,0.0,52.0,152.0
182,43062.0,3.0,3.0,0.0,0.0,6.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0
183,19511.0,3.0,7.0,32.0,0.0,11.0,9.0,25.0,0.0,0.0,0.0,26.0,70.0
184,133651.0,3.0,7.0,15.0,0.0,3.0,1.0,24.0,0.0,0.0,0.0,16.0,33.0
