index,playerId,goals,goalAssist,appearances,minutePlayed,yellowCard,redCard,totalSubOn,totalSubOff
173,19205.0,1.0,0.0,24.0,1536.0,7.0,0.0,7.0,4.0
174,160032.0,1.0,0.0,23.0,1819.0,5.0,0.0,3.0,1.0
175,159741.0,1.0,0.0,17.0,439.0,0.0,0.0,15.0,1.0
176,33468.0,1.0,0.0,17.0,1227.0,2.0,0.0,5.0,0.0
177,50119.0,1.0,1.0,15.0,821.0,0.0,0.0,7.0,1.0
178,160488.0,1.0,0.0,17.0,1447.0,1.0,0.0,2.0,1.0
179,129750.0,1.0,1.0,32.0,2846.0,5.0,0.0,0.0,2.0
180,10059.0,1.0,4.0,28.0,2063.0,2.0,0.0,7.0,2.0
181,23153.0,1.0,2.0,17.0,518.0,1.0,0.0,14.0,3.0
182,30985.0,1.0,0.0,7.0,401.0,0.0,0.0,3.0,3.0
183,166468.0,1.0,0.0,15.0,1350.0,3.0,0.0,0.0,0.0
184,30667.0,1.0,2.0,27.0,2163.0,4.0,1.0,2.0,4.0
185,93960.0,1.0,1.0,20.0,909.0,0.0,0.0,12.0,2.0
186,163747.0,1.0,0.0,2.0,107.0,0.0,0.0,1.0,1.0
187,115748.0,1.0,3.0,25.0,1488.0,3.0,0.0,7.0,13.0
188,52102.0,1.0,4.0,17.0,769.0,1.0,0.0,10.0,3.0
189,47195.0,1.0,1.0,24.0,1762.0,4.0,0.0,3.0,12.0
190,162020.0,1.0,0.0,21.0,1415.0,0.0,0.0,5.0,11.0
191,160897.0,1.0,2.0,24.0,687.0,1.0,0.0,19.0,5.0
192,129760.0,1.0,1.0,12.0,467.0,1.0,0.0,7.0,4.0
193,134321.0,1.0,1.0,30.0,2193.0,2.0,0.0,4.0,14.0
194,160054.0,1.0,3.0,28.0,1808.0,7.0,0.0,8.0,7.0
195,94350.0,1.0,1.0,15.0,374.0,1.0,0.0,12.0,3.0
196,31757.0,1.0,0.0,22.0,1902.0,4.0,0.0,0.0,2.0
197,179421.0,1.0,0.0,7.0,254.0,0.0,1.0,5.0,1.0
198,135175.0,1.0,2.0,27.0,2177.0,9.0,1.0,2.0,5.0
199,51340.0,1.0,0.0,22.0,1763.0,2.0,0.0,3.0,4.0
200,44159.0,1.0,0.0,29.0,2598.0,5.0,0.0,0.0,1.0
201,135591.0,1.0,1.0,22.0,1332.0,2.0,1.0,8.0,2.0
202,161345.0,1.0,1.0,32.0,2880.0,4.0,0.0,0.0,0.0
203,130672.0,1.0,0.0,20.0,1474.0,3.0,0.0,4.0,3.0
204,43049.0,1.0,0.0,9.0,704.0,0.0,0.0,1.0,1.0
205,143584.0,1.0,1.0,31.0,2558.0,5.0,0.0,3.0,2.0
206,10292.0,1.0,1.0,32.0,2880.0,7.0,0.0,0.0,0.0
207,153012.0,1.0,0.0,12.0,911.0,1.0,0.0,2.0,0.0
208,43997.0,1.0,0.0,20.0,713.0,0.0,0.0,14.0,4.0
209,144579.0,1.0,0.0,32.0,2697.0,7.0,0.0,0.0,10.0
210,6577.0,1.0,2.0,18.0,1448.0,1.0,0.0,0.0,11.0
211,132927.0,1.0,4.0,24.0,1502.0,1.0,0.0,4.0,14.0
212,162021.0,1.0,2.0,22.0,1016.0,2.0,0.0,10.0,12.0
213,51703.0,1.0,2.0,29.0,2507.0,4.0,0.0,1.0,1.0
214,30598.0,1.0,1.0,12.0,869.0,3.0,0.0,3.0,3.0
215,50135.0,1.0,8.0,30.0,2619.0,1.0,0.0,1.0,3.0
